top,seq,sredni_czas,mediana_czas,max_czas,skladalnosc,obecnosc,n_600ns,n_1us,stddevi,etykieta
-p-p-p,424,871166.6666666666,1000000.0,1000000.0,1.0,12,10,9,254287.8932996769,BARDZO STABILNY
-p-p-p,431,574190.0,412880.0,1000000.0,1.0,12,5,5,391664.8277197319,BARDZO STABILNY
-p-p-p,432,657508.8888888889,1000000.0,1000000.0,1.0,9,5,5,428552.0690780889,BARDZO STABILNY
-p-p-p,433,932670.0,1000000.0,1000000.0,1.0,12,11,11,233237.96174722502,BARDZO STABILNY
-p-p-p,434,632843.3333333334,771870.0,1000000.0,1.0,12,6,6,407707.52412022324,BARDZO STABILNY
-p-p-p,441,579698.3333333334,679630.0,1000000.0,1.0,12,7,5,425042.66621841694,BARDZO STABILNY
-p-p-p,442,423240.0,168820.0,1000000.0,0.5,9,3,3,443889.6831421068,BARDZO STABILNY
-p-p-p,443,798818.1818181818,1000000.0,1000000.0,0.75,11,8,7,339686.28708907816,BARDZO STABILNY
-p-p-p,444,749003.3333333334,1000000.0,1000000.0,1.0,12,8,8,394045.0365430866,BARDZO STABILNY
-pd+l,111,0.0,0.0,0.0,0.0,0,0,0,,NIESTABILNY
